"Name","Alignment","Variants and Titles in Text","Persian Substrate Name","Substrate Certainty","Persian Literal Reading","Etymology Note","Correspondential Spiritual Meaning"
"Apostle of Light","Realm of Light — Transmitting","Apostle; Messenger; Transmitter","Frēstag (messenger / envoy in Manichaean Persian)","Established","The Sent One / The Messenger","Frestag means one who is sent forth on a mission","The function of communicating sacred truth to the human mind — the cosmic principle of transmission that sends divine knowledge into the world; appears in time to transmit knowledge; first power of the Light Mind (fourth father); ninth throne; precedes all earthly apostles as their cosmic archetype"
"The Counterpart (Companion to the Apostle)","Realm of Light — Accompanying","The Twin; Companion; Syzygos","Narig (the precious one) in Manichaean texts; corresponds to the Fravashi (heavenly double / guardian spirit) in Zoroastrian tradition","Established","The Precious One / The Dear One","Narig means precious or beloved","The interior celestial perception that accompanies the external communication of truth — the divine twin of the apostle; provides help from all afflictions and dangers; becomes companion sticking close everywhere; corresponds to the heavenly double that every soul possesses in the celestial world; second power of the Light Mind"
"Light Form","Realm of Light — Terminal and Initial","Form of Light; Redeemer of the Soul; the Daena","Daena (the soul's own divine image in Zoroastrian tradition) — appears at the Chinvat Bridge as either beautiful or hideous depending on the soul's deeds; in the Ardā Wirāz Nāmag, appears as a radiant maiden to the righteous","Established","Vision / Inner Conscience / What-you-have-become","Daena is the soul's own accumulated nature made visible to itself","The spiritual state that appears at the threshold of death to gather the soul into peace; calms the dying person with kiss and quiet; corresponds to what the person has become interiorly; fifth father; attended by three angels bearing prize, garment, and crown; she is 'the first but she is also the last' — both first origin and final return"
"Three Angels of the Light Form","Realm of Light — Attending","Prize-bearer; Garment-bearer; Crown-bearer (possessing the diadem, wreath, and crown of light)","Unknown by name; correspond to the three categories of heavenly reward at the Chinvat Bridge in Zoroastrian tradition","Tentative","Not named in Persian substrate","functional descriptions only (prize-bearer, garment-bearer, crown-bearer)","Three celestial figures attending the Light Form at the moment of death: the first holds the victory prize; the second bears the light garment; the third possesses the diadem, wreath, and crown of light. They correspond to three degrees of heavenly reward — the outward recognition of celestial good, spiritual truth, and natural works accomplished in life"
"Summons (The Call)","Realm of Light — Initiating","The Call; The First Voice","Xvash khvan (sweet caller / sweet voice) in Manichaean Persian; the initiating divine voice","Tentative","Sweet Voice / Sweet Caller","Xvash khvan: xvash (sweet / pleasant) + khvan (caller / voice)","The Lord's active calling forth of divine truth — the active influx of truth from the Divine into the human will; sent from the Living Spirit to the captive First Man; penetrates the deepest states of captivity and initiates liberation; always active and descending; together with Obedience constitutes twenty-five characteristics in twenty-five limbs; opened the portals of mercy; one of the twelve hours of the Pillar"
"Obedience (The Answer)","Realm of Light — Receiving","The Answer; The Hearing","Ashtag (implied in Manichaean Persian texts)","Tentative","The Answering One / The Hearkener","tentative; Sraosha already covers this function in Zoroastrian tradition","The will's willing reception of divine truth — the responsive ascent of good toward the Lord's calling; ascends from the First Man back to the Living Spirit; completes the circuit of influx; always receptive and ascending; like a letter written from the battlefield disclosing all the states of temptation to the Divine; together with the Summons opened the portals of mercy for the First Man"
"Last Statue","Realm of Light — Final Consummation","The Statue; The Grand Man","Tan-i-Pasen (Final Body) in Manichaean Persian — attested in Middle Persian texts; no direct pre-Manichaean Persian equivalent identified","Established as Manichaean term","The Final Body / The Completed Form","Tan-i-Pasen: tan (body) + pasen (final / last)","The fully realized Divine Human form — the completed Grand Man constituted of all gathered and purified goods and truths; sculpts itself at the final consummation from the remnant of all things; the collective form of all redeemed good in its final perfection; when complete it ascends to the aeon of light through the Living Spirit; the ultimate goal of the entire arc of regeneration"
"Five Sons of the First Man (Five Light Elements)","Realm of Light — Armor / Faculties","Five Garments; Five Shining Gods; Living Elements; Five Sons","Amesha Spentas (the five Holy Immortals when the Father is set apart from the count); in Manichaean Middle Persian: the five elements as five divine beings with the names of the five Amesha Spentas","Established as group","The Holy Immortals","individually the names are qualities: Good Mind / Best Truth / Desired Dominion / Holy Devotion / Wholeness (Amesha Spentas: amesha = immortal; spenta = holy)","The five faculties of celestial perception serving as the armor of the First Man in temptation-combat: Consideration (outermost — holy church), Counsel (Pillar of Glory), Insight (First Man's ship of night), Thought (Ambassador's ship of day), Mind (the Father in aeons of light). Devoured by darkness during the first combat; bind darkness from within; remain captive until gathered into the Last Statue. Together with Summons and Obedience they constitute the twelve hours of the third day"
"Five Sons of the Living Spirit","Realm of Light — Structural Supports","Five Structural Gods; Supporters of the World; Five Sons","Panj Roshan (the Five Luminous Ones) — attested in Manichaean Middle Persian texts as the group name for the five sons of the Living Spirit","Established as group","The Five Luminous Ones / The Five Bright Ones","Panj Roshan: panj (five) + roshan (luminous / bright)","The five structural powers that sustain the spiritual world and restrain the hells — distinct from the First Man's five sons which are faculties of perception; these are the structural skeleton of the cosmos: the disc on the Porter's shoulder, the arches before him, the mould of the gehennas, the seven pillars in the great sea, the four walls surrounding the vessels; together with the First Man's five sons they constitute the twelve aeons of light (5+5+2)"
"Keeper of Splendour","Realm of Light — First Watch-keeper","Omophorus; Mind of the World Above","Xroshtagarbed (Guardian of the realm-radiance) — tentative Manichaean scholarly reconstruction; Splenditenens in Latin Manichaean sources","Tentative","Guardian of the Radiance / Holder of Splendour",,"The Divine protection over the highest rational degree of the mind — Mind of the world above; stationed in the camp above the prison of the bound ones; brings to nothing all the gloom of death; governs the three upper heavens; corresponds to the face and upper perceptions in the body; master of the first watch-station"
"King of Honour","Realm of Light — Second Watch-keeper","The Great King of Honour; Thought of the Seventh Firmament","Visbed (Ruler of territories / lands) — tentative Manichaean scholarly reconstruction","Tentative","Ruler of the Settled Lands / Lord of the Territories","Visbed: vis (settlement / clan) + bed (lord / ruler)","The Divine governance within the interior rational degree — Thought of the seventh firmament; governs the seven heavens; the will as heart governing all rational degrees; seated on the great throne of honor at the center of the universe; the King of Honour before whom the wheel of Providence stands; corresponds to the heart in the body"
"Adamant of Light","Realm of Light — Third Watch-keeper","Adamant; Splenditenens; Insight of the Higher World","Zandbed (Life-champion / unyielding guardian) — tentative Manichaean scholarly reconstruction","Tentative","Lord of Living Power / Life-Champion","Zandbed: zand (living / vital) + bed (lord / ruler)","The unyielding power of Divine Truth against the assaults of the proprium — Insight of the higher world; stationed in the middle region; smites the sea giant; subdues Matter; governs from the firmament down to the earth; master of the third watch-station; holds the sphere steady; corresponds to the genitals (generative truth) in the body"
"King of Glory","Realm of Light — Fourth Watch-keeper","Great Counsel; Master of the Three Wheels","Manbed (Mind-ruler) — tentative Manichaean scholarly reconstruction","Tentative","Lord of the Mind / Mind-Ruler","Manbed: man (mind / thought) + bed (lord / ruler)","The Divine Truth that directs the ascent of influx through the three wheels of wind, water, and fire — Counsel and Patience; master of the fourth watch-station; turns the three wheels; sends the life above; governs the three earths above the Porter; corresponds to the stomach and the fire within in the body"
"Porter (Atlas)","Realm of Light — Fifth Watch-keeper","Atlas; The Consideration and Wisdom of the Earth Below","Fravahr (guardian spirit archetype) — tentative; the Porter's foundational sustaining function relates broadly to the Fravashi concept of the sustaining heavenly double in Zoroastrian tradition","Tentative","Protective Spirit / Heavenly Double / Guardian Soul","Fravahr is every person's pre-existing heavenly archetype that precedes and outlasts them","The sustaining foundation of truth in the lowest natural degree — Consideration and Wisdom of the Earth; bears the foundation below all the earths; subdues the uprising of the abyss with his footsoles; master of the fifth watch-station; the four cosmic fastenings are under his feet; corresponds to the feet and soles in the body; the outermost reception holding everything above it"
"King of Darkness","Realm of Darkness — Supreme","Ruler of Smoke; Chief of Demons; Head of All Wickedness; King of the realms of Darkness","Ahriman (Angra Mainyu)","Established","Evil Spirit / Destructive Mind","Angra Mainyu: angra (destructive / harmful) + mainyu (spirit / mind)","The ruling principle of self-love — the sovereign evil that governs all states of falsity from evil; the love of dominion from self that is the head of all hells; five shapes on his body correspond to five genera of evil; body harder than all iron and copper; can hide himself through persuasive falsity (magic arts); knows only what is immediately before him (no foresight); organized all darkness for the assault against the realm of light; first judge of evil"
"King of the Worlds of Fire (Lion-faced)","Realm of Darkness — Fire World","The Lion-Faced King of Fire; foremost of all the beasts","Ēšm / Aēšma (demon of Wrath) — lion = dominating predatory power; Probable","Probable","Wrath","Aeshma means wrath or assault in Avestan","Consuming self-love and the hatred of good — the demonic principle of fire ruling through lust and domination; copper body; sour taste; manifests in the world as fire-worshipping sects and leaders driven by the love of power over others"
"King of the Worlds of Wind (Eagle-faced)","Realm of Darkness — Wind World","The Eagle-Faced King of Wind","Aēšma-daēva (demon of wrath and assault); eagle = predatory rationality seizing from above — Tentative","Tentative","Demonic Wrath / Violent Assault","Aeshma-daeva: daeva adds demon to the wrath concept","Predatory rationality and false persuasions — the demonic principle of wind ruling through sharp and cutting argument; iron body; sharp taste; manifests as idolatry — spirits of error dwelling in temples, statues, and images"
"King of the World of Water (Fish-faced)","Realm of Darkness — Water World","The Fish-Faced King of Water","Apaosha (demon opposing water and natural life); fish = submersion in falsity without ascent — Tentative","Tentative","That Which Withholds Rain / Drought Demon","Apaosha means the withholding of water or nourishment","The seductive delight of falsified truth — the demonic principle of water ruling through deceptive sweetness; silver body; sweet taste; the most dangerous darkness because it presents falsity as desirable; manifests as sects that baptize with water, setting hope in the external rite"
"King of the World of Darkness (Dragon)","Realm of Darkness — Darkness World","The Dragon King; King of Lead","Azi Dahāka (the dragon-demon of Iranian mythology); the dragon = comprehensive falsification of all truth — Probable","Probable","The Biting Serpent / The Wounding Dragon","Azi Dahaka: azi (serpent) + dahaka (biting / wounding)","The densest, basest falsity — the demonic principle of pure darkness; body of lead and tin; bitter taste; manifests as soothsayers, oracles, possessed ones, and diviners; corresponds to the lowest natural mind wholly given over to evil; the ultimate compaction of falsehood"
"Matter (The Sculptress / Thought of Death)","Realm of Darkness — Generative Principle","The Sculptress; Thought of Death; Mother of All Evil Fruits","Āz (demon of concupiscence / greed in Zurvanite tradition) and / or Jeh (the demonic feminine); Āz is the active formative evil that animates all darkness","Established","Greed / Concupiscence (Az) and The Demonic Feminine (Jeh)","Az means simply greed or lust; Jeh is the demoness of licentiousness","The proprium — the self-derived will that gives form to all evil and falsity; fashions the worlds of darkness; gives strength to the King of Darkness for war; the mother of all evil affections; sculpts the body of evil from the nature of the land of darkness; 'the thought of death' = the proprium conceived not as inert substance but as an active intention toward spiritual death; the womb from which all particular evils are born"
"Law of Sin (Dark Spirit)","Realm of Darkness — Animating","Dark Spirit; Law of Death; The Night","Druj / Drug (the Lie / Falsity as a cosmic power in Avestan tradition) — the opposite of Asha (Truth / Righteousness)","Established","The Lie","Druj or Drug is a single word meaning the Lie as an active cosmic force opposing Asha (Truth)","The ruling principle of falsity in the natural mind — the fourth night; speaks in the twelve zodiacal signs; the twelve signs are called 'the nakednesses' and 'Matter's thrones'; corresponds to the animating spirit of all organized falsity from evil; the fourth dark operation that ensnares spiritual life through constant deception"
"Sea Giant","Realm of Darkness — Cosmic Residue","The Residue; The Monster of the Depths","Gōchihr (Manichaean / Zurvanite cosmic dragon or comet-body) — formed from the residue of the cosmic purification process; attested in Manichaean texts","Tentative","Having Bull-Essence / The Bull-Form One","Gochihr relates to the primordial bull whose death seeds the world","The monstrous composite selfhood formed from the residue of all sensory knowledge and cosmic cycles; sculpted from the waste of the wheel of the sphere by its own lust; bears the seals of all stars and zodiacal signs on its body; acts as hostel for cosmic waste and residue; is nailed to the wheel by the Adamant of Light between the mountains; drags back the sphere when it would rise; corresponds to the monstrous proprium formed within the mass of natural knowledge"
"Saklas (and his consort)","Historical — Demiurgic","The Fool; The Sculptor of Adam","Substrate Persian name unknown — the Saklas designation is Sethian / Gnostic overlay (Aramaic: fool / the demiurge); the substrate figure was probably a Persian demonological name for the chief constructive agent of Ahriman; possibly a functional title of Āz in its active-fashioning mode","Unknown","The Fool","this is Aramaic not Persian; the Persian substrate name is lost","The malformed creator principle — self-derived intelligence that imitates divine action without receiving it; fashions Adam and Eve as counterfeit copies of the Ambassador's image using appropriated light from his companions; chief of the abortions; 'they copied it against the image of the exalted one — but not in truth; just as an image seen in water'; corresponds to the constructive power of the proprium when it claims what flows through it"
"Adam (First Man of Flesh)","Historical — Human Archetype","The First Man of Flesh; Adam the First","Gayomard / Kayomars (primordial human in Iranian tradition); on his death his seed produces the first human couple; 'the seal of the entire universe is stamped upon Adam'","Established","Living Mortal / Mortal Life","Gayomard: gay (life / living) + mard (mortal / man)","The Most Ancient Church — the natural human containing the divine likeness; formed by the abortions after the Ambassador's image; three great things distinguish him: the image of the exalted one, organization through the five sons, and the inscription of all celestial correspondences; archetype of the natural mind in which the cosmos is recapitulated in miniature; the battlefield of the Light Mind against the old man"
"Eve (Adam's Consort)","Historical — Human Archetype","The First Woman; Adam's Consort","Mashyanay (first woman of Iranian tradition; with Mashyag the first human couple born from Gayomard's seed in the earth)","Established","The Mortal One / The Human Female","Mashyanay is the feminine form of Mashya meaning the mortal one","The receptive affection of the natural mind — the womb of human generation; enlightened by Jesus the Splendour; the will as it first receives the impression of the divine likeness; mother of all subsequent generations; the feminine receptive principle in the human soul"
"Five Stars (Planetary Rulers)","Cosmic Governance — Dark","Zeus-star (Jupiter); Aphrodite-star (Venus); Ares-star (Mars); Hermes-star (Mercury); Cronos-star (Saturn) — Greek Layer 2 names for Persian planetary beings","Ohrmazd-star (Jupiter = Ohrmazd); Anahit-star (Venus = Anahita); Wahram-star (Mars = Bahram); Tir-star (Mercury = Tir); Keywān-star (Saturn = Keywān) — attested in Persian astrology","Established for planetary equivalences","Star of Lord Wisdom (Jupiter) / Star of the Immaculate One (Venus) / Star of Victory (Mars) / Star of the Swift Arrow (Mercury) / Star of the Slow-Mover (Saturn)",,"Five principal evil affections seized from the five dark worlds and bound upon the revolving sphere: Jupiter from the world of Smoke (mind / perverted intellect), Venus from Fire (self-love), Mars from Wind (predatory rationality), Mercury from Water (falsified truth), Saturn from Darkness (basest falsity). They are all enemies and rivals to each other. The sun and moon — strangers among them belonging to the greatness — subjugate them at every moment"
